       7 text files.
classified 7 files
       7 unique files.                              
       0 files ignored.


language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.60  T=0.02 s (334.3 files/s, 63332.2 lines/s)"
C++,/home/quique/Documentos/RHA/SW/lib/cytron_g15_servo/cytron_g15_servo.cpp,112,79,434
C++,/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp,47,82,188
C/C++ Header,/home/quique/Documentos/RHA/SW/lib/cytron_g15_servo/cytron_g15_servo.h,31,38,155
C/C++ Header,/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h,17,8,60
C++,/home/quique/Documentos/RHA/SW/src/main.cpp,6,8,26
C/C++ Header,/home/quique/Documentos/RHA/SW/lib/joint_rha/joint_rha.h,3,13,3
C++,/home/quique/Documentos/RHA/SW/lib/joint_rha/joint_rha.cpp,2,13,1

