       7 text files.
classified 7 files       7 unique files.                              
       0 files ignored.

language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.60  T=0.02 s (408.1 files/s, 74151.9 lines/s)"
C++,/home/gmv/RHA/SW/lib/CYTRON_G15_SERVO/CYTRON_G15_SERVO.cpp,112,79,434
C++,/home/gmv/RHA/SW/lib/servo_rha/servo_rha.cpp,41,72,158
C/C++ Header,/home/gmv/RHA/SW/lib/CYTRON_G15_SERVO/cytron_g15_servo.h,31,38,155
C/C++ Header,/home/gmv/RHA/SW/lib/servo_rha/servo_rha.h,14,8,55
C++,/home/gmv/RHA/SW/src/main.cpp,6,9,25
C/C++ Header,/home/gmv/RHA/SW/lib/joint_rha/joint_rha.h,3,13,3
C++,/home/gmv/RHA/SW/lib/joint_rha/joint_rha.cpp,2,13,1
