       8 text files.
classified 8 files       8 unique files.                              
       0 files ignored.

language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.60  T=0.02 s (353.3 files/s, 60764.0 lines/s)"
C++,/home/gmv/RHA/SW/lib/cytron_g15_servo/cytron_g15_servo.cpp,110,79,375
C++,/home/gmv/RHA/SW/lib/servo_rha/servo_rha.cpp,49,104,205
C/C++ Header,/home/gmv/RHA/SW/lib/cytron_g15_servo/cytron_g15_servo.h,28,35,146
C/C++ Header,/home/gmv/RHA/SW/lib/servo_rha/servo_rha.h,19,5,55
C/C++ Header,/home/gmv/RHA/SW/lib/debug/debug.h,14,17,47
C++,/home/gmv/RHA/SW/src/main.cpp,6,8,26
C/C++ Header,/home/gmv/RHA/SW/lib/joint_rha/joint_rha.h,7,1,15
C++,/home/gmv/RHA/SW/lib/joint_rha/joint_rha.cpp,4,8,13
