================================================
  NLOC    CCN   token  PARAM  length  location  
      11      4    107      0      11 JointRHA::speedError@72-82@/home/quique/Documentos/RHA/SW/lib/joint_rha/joint_rha.cpp
       3      1     14      0       3 JointRHA::updateInfo@87-89@/home/quique/Documentos/RHA/SW/lib/joint_rha/joint_rha.cpp
       1      1      5      0       1 ServoRHA::ServoRHA@136-136@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       1      1      8      0       1 ServoRHA::getID@166-166@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       1      1      8      0       1 ServoRHA::getSpeed@167-167@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       1      1      8      0       1 ServoRHA::getSpeedDir@168-168@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       1      1      8      0       1 ServoRHA::getPosition@169-169@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       1      1      8      0       1 ServoRHA::getLoad@170-170@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       1      1      8      0       1 ServoRHA::getLoadDir@171-171@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       1      1      8      0       1 ServoRHA::getError@172-172@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       1      1      8      0       1 ServoRHA::getVoltage@173-173@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       1      1      8      0       1 ServoRHA::getTemperature@174-174@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       1      1      8      0       1 ServoRHA::getGoalTorque@175-175@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.h
       3      1     13      1       3 ServoRHA::ServoRHA@22-24@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       7      1     41      1      11 ServoRHA::init@30-40@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
      18      1    158      2      27 ServoRHA::updateInfo@57-83@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
      14      6     97      3      18 ServoRHA::calculateTorque@87-104@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       6      1     41      1       6 ServoRHA::addUpadteInfoToPacket@115-120@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       9      1     56      2      12 ServoRHA::addReturnOptionToPacket@127-138@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
      10      1     66      1      10 ServoRHA::addTorqueToPacket@144-153@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       6      1     44      2       7 ServoRHA::setTorqueOnOfToPacket@160-166@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       3      1     19      1       4 ServoRHA::setWheelModeToPacket@174-177@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       3      1     19      1       3 ServoRHA::exitWheelModeToPacket@185-187@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       9      1     78      3      11 ServoRHA::wheelModeToPacket@197-207@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       4      1     29      1       4 ServoRHA::pingToPacket@209-212@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       7      1     56      2       9 ServoRHA::setTorqueLimitToPacket@214-222@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
      11      2     79      3      13 ServoRHA::setWheelSpeedToPacket@224-236@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       9      2     69      3      11 ServoRHA::addToPacket@244-254@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       6      3     57      3       6 compareAngles@267-272@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
       6      3     57      3       6 compareSpeed@280-285@/home/quique/Documentos/RHA/SW/lib/servo_rha/servo_rha.cpp
      19      6    181      4      25 MeasureUtilities::averageChauvenet@42-66@/home/quique/Documentos/RHA/SW/lib/utilities/utilities.cpp
      35      7    195      1      41 ServoUtilities::setServoId@86-126@/home/quique/Documentos/RHA/SW/lib/utilities/utilities.cpp
      84     17    443      0      91 ServoUtilities::fullFactoryResetBR@144-234@/home/quique/Documentos/RHA/SW/lib/utilities/utilities.cpp
       3      1     11      0       3 Utilities::Utilities@60-62@/home/quique/Documentos/RHA/SW/lib/utilities/utilities.h
      14      3     91      0      15 Utilities::initJoints@64-78@/home/quique/Documentos/RHA/SW/lib/utilities/utilities.h
      21      3    263      0      24 Utilities::extractRegulatorData@85-108@/home/quique/Documentos/RHA/SW/lib/utilities/utilities.h
      23      3    146      1      25 Utilities::checkTimeGetInfo@116-140@/home/quique/Documentos/RHA/SW/lib/utilities/utilities.h
      13      3     73      1      15 Utilities::checkComSucces@147-161@/home/quique/Documentos/RHA/SW/lib/utilities/utilities.h
      56      8    365      1      69 Utilities::checkSpeed@167-235@/home/quique/Documentos/RHA/SW/lib/utilities/utilities.h
      17     14    215      2      18 printServoStatusError@14-31@/home/quique/Documentos/RHA/SW/lib/debug/debug.cpp
